num_consumers,num_goods,type_market,noise_scale,target_eps,final_epsilon,total_num_samples,total_pruned_0,total_pruned_1,total_pruned_2
5,10,uniform_random_distribution,1.0,0.05,0.03731854006196978,5098624,44,1,0
5,10,uniform_random_distribution,1.0,0.05,0.03736219992677275,6435968,38,4,2
5,10,uniform_random_distribution,1.0,0.05,0.03740503739433575,6435968,42,0,1
5,10,uniform_random_distribution,1.0,0.05,0.03744708209183486,6853888,41,1,0
5,10,uniform_random_distribution,1.0,0.05,0.03736219992677275,5850880,43,0,1
5,10,uniform_random_distribution,1.0,0.05,0.03740503739433575,6435968,42,0,1
5,10,uniform_random_distribution,1.0,0.05,0.03731854006196978,5182208,43,2,0
5,10,uniform_random_distribution,1.0,0.05,0.03752890400356476,8274816,36,4,0
5,10,uniform_random_distribution,1.0,0.05,0.03731854006196978,5098624,44,1,0
5,10,uniform_random_distribution,2.5,0.1,0.07472435980221484,1969814,38,6,0
5,10,uniform_random_distribution,2.5,0.1,0.07513742593078011,3103124,32,4,3
5,10,uniform_random_distribution,2.5,0.1,0.07513742593078011,2860270,37,1,1
5,10,uniform_random_distribution,2.5,0.1,0.0750577677770963,2725353,36,3,1
5,10,uniform_random_distribution,2.5,0.1,0.0750577677770963,3049156,34,0,6
5,10,uniform_random_distribution,2.5,0.1,0.07481003469142015,2266633,37,4,2
5,10,uniform_random_distribution,2.5,0.1,0.07497668399089243,2401549,40,1,0
5,10,uniform_random_distribution,2.5,0.1,0.07472435980221484,1996796,41,1,2
5,10,uniform_random_distribution,2.5,0.1,0.07513742593078011,2833286,38,0,1
5,10,uniform_random_distribution,2.5,0.1,0.07513742593078011,2914237,37,0,2
5,10,uniform_random_distribution,2.5,0.1,0.07536831497974636,3453909,33,2,1
5,10,uniform_random_distribution,2.5,0.1,0.07472435980221484,1942829,41,2,1
5,10,uniform_random_distribution,2.5,0.1,0.07513742593078011,3130107,33,2,4
5,10,uniform_random_distribution,2.5,0.1,0.07497668399089243,2509485,36,5,0
5,10,uniform_random_distribution,2.5,0.1,0.07481003469142015,2401551,36,3,4
5,10,uniform_random_distribution,2.5,0.1,0.07529265499499754,3345975,33,2,2
5,10,uniform_random_distribution,2.5,0.1,0.07463704011941116,1834895,41,2,2
5,10,uniform_random_distribution,2.5,0.1,0.0750577677770963,2779320,36,2,2
5,10,uniform_random_distribution,2.5,0.1,0.07497668399089243,2536468,37,3,1
5,10,uniform_random_distribution,2.5,0.1,0.07497668399089243,2563451,38,1,2
5,10,uniform_random_distribution,2.5,0.075,0.05610733108265423,3981618,40,0,3
5,10,uniform_random_distribution,2.5,0.075,0.05610733108265423,3837705,39,3,1
